DVM,TSGTCmnMsgCode_LKP,,
MessageCode,MessageDescr,Comments
TSGT_GL_MEDIATOR_LOG_METADATA_DISTLIST_ERROR,Error Occured while Updating Logger or Fetching Metadata or Distribution List,
TSGT_GL_MEDIATOR_INTG_TRACKER_UPDATE_ERROR,Error Occurred while Updating Status Of Integration Flow,
TSGT_GL_MEDIATOR_INSERT_STG_SERVICE_ERROR,Error Occurred while inserting the data from File to Stage in the Insert Stage Service,
TSGT_GL_MEDIATOR_FILE_PROCESS_ERROR,Error Occurred while File Processed From Object Storage to Stage,
TSGT_GL_MEDIATOR_DS_SFTP_RETRIEVE_ERROR,Error Occured while fetching the file from SFTP Location,
TSGT_GL_MEDIATOR_DS_FILE_TO_STG_ERROR,Error Occured while processing the file and inserting to Stagging Area,
TSGT_GL_MEDIATOR_DS_NO_DATA_FOUND_ERROR,Error Occured as their are no valid records found in File,
TSGT_CMN_MEDIATOR_PROCESSING_SUCCESS,%1 Inbound FBDI Data Prepared Successfully,
TSGT_NO_RECORDS_IN_EXTRACTFILE,No Data Found in the file extracted from ERP,
TSGT_CMN_NOESS_JOB_FOUND,ESS JOB ID Not Found in Outbound CallBack: %1,TSGT_CMN_CALLBACK_SERVICE_OB
TSGT_CMN_SYSTEM_ERROR,TSGT System Error : %1,TSGT_CMN_CALLBACK_SERVICE_OB
TSGT_CMN_GET_TRIGGER_DETAILS,Error in Get Trigger Details Scope,TSGT_CMN_CALLBACK_SERVICE_OB
TSGT_CMN_UCM_FILE_NOT_FOUND,"Outbound File Not Found, ESS JOB ID  :%1",TSGT_CMN_CALLBACK_SERVICE_OB
TSGT_CMN_UCM_FILE_ERROR,Error in Get File From UCM Scope,TSGT_CMN_CALLBACK_SERVICE_OB
TSGT_CMN_DISPATCHER_ERROR,Error in Invoking Dispatcher Service Scope,TSGT_CMN_CALLBACK_SERVICE_OB
TSGT_CMN_MEDIATOR_TRANSFORMATION_ERROR,Error Occurred While Preparing FBDI Data For The File name : %1,
TSGT_CMN_ESS_JOBERROR,ESS %1 Job ended in Error Status for the integration %2,used in TSGT_CMN_CALLBACK_SERVICE_OB
TSGT_CMN_CHECK_JOB_STATUS_PROCESSING_ERROR,Error Occurred,
TSGT_CMN_CHECK_JOB_STATUS_PROCESSING_SUCCESS,Processed Successfully,
TSGT_CMN_PAYMENTDOC_MOVEFILES_TO_ONBASE_ERROR,Error Occurred While Moving Payment Documents to Onbase,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_PAYMENTDOC_MOVEFILES_TO_ONBASE_SUCCESS,Payment Documents to Onbase Processed Successfully,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_PAYMENTDOC_DELETEFILES_SUCCESS,Payment Documents Removed Successfully,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_PAYMENTDOC_JOBSET_PROCESSING_ERROR,Error Occurred While Invoking Payment Documents JobSet,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_PAYMENTREGISTER_MASTER_JOB_PROCESSING_ERROR,Error Occurred While Invoking Payment Documents Payment Register Master Job,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_PAYMENTREGISTER_INDEX_JOB_PROCESSING_ERROR,Error Occurred While Invoking Payment Documents Payment Register Index Job,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_PAYMENTDOC_PROCESSING_STATUS_TO_ONBASE,Payment Documents to Onbase Processed Status,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_PAYMENTDOC_PROCESSING_ERROR_TO_ONBASE,Error Occurred While Processing Payment Documents to Onbase,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_CHECK_JOB_STATUS_PROCESSING_TIMEOUT,Timeout Occurred while checking the ESS Job Status,
TSGT_CMN_PAYMENTDOC_DELETEFILES_ERROR,Unable to move the files to OnBase.,Used in OB15 - Transfer checks and payment register to onbase
TSGT_CMN_PAYMENTDOC_NO_RECORDS_IN_EXTRACTFILE,No Data Found To Process The Payment Documents to Onbase.,used in OB20 - Expense attachments to Onbase
TSGT_CMN_IEXPENSEDOC_NO_ATTACHMENTS_IN_REPORT_EXTRACTFILE,No attachment file exists on header for Travel or Miscellaneous or Local Vicinity Report.,used in OB20 - Expense attachments to Onbase
TSGT_CMN_IEXPENSEDOC_MORE_THAN_ONE_ATTACHMENTS_IN_REPORT_EXTRACTFILE,More than 1 document exists on header for Travel or Miscellaneous or Local Vicinity Report.,used in OB20 - Expense attachments to Onbase
TSGT_CMN_IEXPENSEDOC_INVALID_ATTACHMENTS_IN_EXTRACTFILE,Invalid attachment file extension.,used in OB20 - Expense attachments to Onbase
TSGT_CMN_IEXPENSEDOC_NO_ATTACHMENTS_IN_ATTACHMENTS_EXTRACTFILE,No attachment file exists on line for P-Card.,used in OB20 - Expense attachments to Onbase
TSGT_CMN_IEXPENSEDOC_MORE_THAN_ONE_ATTACHMENTS_IN_ATTACHMENTS_EXTRACTFILE,More than 1 document exists on line for P-Card.,used in OB20 - Expense attachments to Onbase
TSGT_CMN_IEXPENSEDOC_MULTIPLE_EXPTMPT_INLINES,Invalid Expense ! Multiple Expense template exists in the line.,used in OB20 - Expense attachments to Onbase
TSGT_CMN_IEXPENSEDOC_INVALID_TEMPLATES,Invalid Templates for Expense Attachments!. Valid Templates : LOCAL VICINITY/MISC/TRAVEL/PCARD,used in OB20 - Expense attachments to Onbase
TSGT_CMN_MV_PODOC_INDEX_TEMP_ERR,Exception Occurred while posting PO Document and Index file to Temp Location,used in OB18
TSGT_CMN_MV_PODOC_ONBASE_ERR,Exception Occurred while posting PO Document and Index file to OnBase,used in OB18
TSGT_CMN_HTML_BODY_ERROR,Exception Occurred while creating HTML Notification,
TSGT_CMN_DNP_FILE_CHECK,No Records found in the ERP Extract.,
TSGT_CMN_DOC_TO_TEMP_SUCCESS,Successfully Posted the %1 to TEMP Directory,Used in the Onbase Integrations
TSGT_CMN_DOC_TO_ONBASE_SUCCESS,Successfully Posted the %1 to OnBase Directory,Used in the Onbase Integrations
